month,year,avg_debit
12,1980,2.4871991728701405E-5
1,1981,3.170233043837885E-5
2,1981,2.1361820524412308E-5
3,1981,4.380540097999182E-5
4,1981,3.779773080168776E-5
5,1981,4.033295508370762E-5
6,1981,3.7155841772151894E-5
7,1981,2.8974991016741527E-5
8,1981,1.7309001224989785E-5
9,1981,1.75827805907173E-5
10,1981,3.096284442629645E-5
11,1981,1.7097331645569618E-5
12,1981,5.03588917925684E-5
1,1982,4.71461335238873E-5
2,1982,2.644867495479205E-5
3,1982,2.6092977133523885E-5
4,1982,2.4288515189873427E-5
5,1982,2.7781197631686394E-5
6,1982,3.260515991561181E-5
7,1982,2.0164572478562682E-5
8,1982,1.6639755410371582E-5
9,1982,1.5388759071729954E-5
10,1982,3.128158472846062E-5
11,1982,3.412288016877639E-5
12,1982,5.136394936708858E-5
1,1983,2.5759995508370754E-5
2,1983,3.0953994575045205E-5
3,1983,2.9023503456689695E-5
4,1983,4.8372010000000004E-5
5,1983,6.305486814516129E-5
6,1983,4.987659374999998E-5
7,1983,3.2071800806451626E-5
8,1983,1.622815443548387E-5
9,1983,1.7248905416666668E-5
10,1983,1.4899939112903223E-5
11,1983,1.8651269999999993E-5
12,1983,2.3895631854838712E-5
1,1984,3.0495572580645148E-5
2,1984,3.743391982758622E-5
3,1984,2.223164663170632E-5
4,1984,3.056988250000001E-5
5,1984,3.615824314516129E-5
6,1984,4.9080428750000006E-5
7,1984,2.7182430241935488E-5
8,1984,1.4260178629032255E-5
9,1984,1.8618717083333336E-5
10,1984,2.835929274193548E-5
11,1984,2.6851251250000007E-5
12,1984,2.6458516532258063E-5
1,1985,2.7142543767648258E-5
2,1985,3.0356103571428562E-5
3,1985,2.9082620967741932E-5
4,1985,3.669822916666666E-5
5,1985,4.2580428629032274E-5
6,1985,4.260253458333336E-5
7,1985,2.568067741935485E-5
8,1985,1.6244816532258063E-5
9,1985,1.1658819583333332E-5
10,1985,1.116473344103393E-5
11,1985,1.534400708333334E-5
12,1985,1.102051008064516E-5
1,1986,2.3803595200629423E-5
2,1986,2.3733646341463415E-5
3,1986,2.576879338842975E-5
4,1986,5.3364665843621395E-5
5,1986,6.078390830381739E-5
6,1986,4.1384180081300805E-5
7,1986,2.4172185287175453E-5
8,1986,1.5766016915814318E-5
9,1986,1.4879211788617886E-5
10,1986,1.3292722376237625E-5
11,1986,1.6964349999999993E-5
12,1986,2.1026203383162862E-5
1,1987,2.638749860613302E-5
2,1987,2.5511889770723094E-5
3,1987,2.634216527279968E-5
4,1987,3.9164055967078174E-5
5,1987,3.0601614894464367E-5
6,1987,4.068251275720164E-5
7,1987,3.764835802469136E-5
8,1987,2.2785410991636794E-5
9,1987,1.8758234979423864E-5
10,1987,3.4395804062126625E-5
