year,region,department,typology,avgTotalPower,sumTotalPower
2019,GRAND EST,AUBE,Agricole autonome,10.7775,21.555
2019,PAYS DE LA LOIRE,SARTHE,Agricole autonome,0.597,0.597
2020,NOUVELLE AQUITAINE,GIRONDE,Agricole autonome,15.4985,30.997
2019,CENTRE VAL DE LOIRE,CHER,Installation de stockage des déchets non dangereux (ISDND),13.211,13.211
2021,CENTRE VAL DE LOIRE,CHER,Installation de stockage des déchets non dangereux (ISDND),17.462135999999997,17.462135999999997
2020,GRAND EST,HAUTE MARNE,Agricole autonome,2.1595,4.319
2021,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,Boues de stations d'épuration (STEP),5.1650339999999995,5.1650339999999995
2021,GRAND EST,ARDENNES,Agricole autonome,11.272751333333332,33.818253999999996
2021,BOURGOGNE FRANCHE COMTE,YONNE,Agricole autonome,7.549022,7.549022
2021,BOURGOGNE FRANCHE COMTE,COTE D OR,Agricole autonome,6.5629610000000005,13.125922000000001
2019,CENTRE VAL DE LOIRE,LOIR ET CHER,Agricole autonome,6.339,6.339
2021,GRAND EST,MOSELLE,Agricole territorial,5.996398,5.996398
2021,HAUTS DE FRANCE,PAS DE CALAIS,Agricole territorial,9.088383333333333,27.26515
2020,HAUTS DE FRANCE,OISE,Installation de stockage des déchets non dangereux (ISDND),13.845,13.845
2020,OCCITANIE,HAUTE GARONNE,Boues de stations d'épuration (STEP),2.074,2.074
2021,NOUVELLE AQUITAINE,CHARENTE MARITIME,Agricole territorial,11.2669055,22.533811
2016,BRETAGNE,ILLE ET VILAINE,Agricole autonome,6.302,6.302
2018,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,1.81,1.81
2021,GRAND EST,HAUTE MARNE,Agricole territorial,16.667158999999998,16.667158999999998
2019,AUVERGNE RHONE ALPES,HAUTE LOIRE,Agricole autonome,2.835,2.835
2014,PAYS DE LA LOIRE,VENDEE,Agricole territorial,3.174,3.174
2021,NOUVELLE AQUITAINE,DORDOGNE,Agricole territorial,0.666905,0.666905
2018,OCCITANIE,PYRENEES ORIENTALES,Boues de stations d'épuration (STEP),1.002,1.002
2021,ILE DE FRANCE,VAL D OISE,Boues de stations d'épuration (STEP),11.27249,11.27249
2021,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,5.630151,11.260302
2019,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole territorial,5.463,5.463
2018,GRAND EST,MOSELLE,Agricole territorial,6.052,6.052
2019,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,3.955,3.955
2018,HAUTS DE FRANCE,SOMME,Agricole territorial,20.303,20.303
2020,GRAND EST,MOSELLE,Déchets ménagers et biodéchets,2.641,2.641
2020,GRAND EST,HAUTE MARNE,Agricole territorial,14.767,14.767
2021,PAYS DE LA LOIRE,SARTHE,Agricole territorial,5.560047,5.560047
